,created_at,name,screen_name,description,id,location,followers_count,following_count,listed_count,tweet_count
30,2017-01-23T17:44:20.000Z,Anime For Humanity,Anime4Humanity,🎗️ | 501©3 Nonprofit 🌸 | Anime 🎎 | Cosplay 💚 | Mental Health Awareness 🆘 | Grab your FREE Anime Therapy Kit ~ 16k+ handed ⏬,823587181771923456,Los Angeles CA,2761,288,16,2011
31,2012-10-03T17:50:02.000Z,Sheppard Pratt,SheppardPratt,"The largest private nonprofit provider of mental health, substance use, special education, developmental disability, and social services in the nation.",860087023,Maryland,1810,1179,45,4977
32,2009-04-02T19:43:07.000Z,Clarity CGC,claritycgc,Clarity Child Guidance Center is a nonprofit mental health treatment center providing programs designed specifically for kids ages 3-17.,28403842,"San Antonio, Texas",986,275,37,1784
33,2011-02-18T22:33:22.000Z,kulaforkarma,kula4karma,"A nonprofit providing yoga, meditation, at no cost, to individuals suffering from addiction, trauma, and mental health challenges.",254244020,United States,1694,1265,75,4230
34,2012-04-12T07:13:43.000Z,SummitStone Health,SummitStoneHlth,SummitStone Health Partners is Larimer County's nonprofit provider for #MentalHealth & #addiction services. #IAmAware #IAmStigmaFree #Depression #Recovery,551640197,"Fort Collins, CO",1883,1278,40,2251
35,2016-09-29T19:44:56.000Z,YMHProject,YMHProject,We are a 501(C)(3) nonprofit. We educate and support families and communities to care for youth mental health. #youthmentalhealth #weallhavementalhealth,781580537517465601,"Darien, CT",649,974,4,1971
36,2017-01-30T12:08:59.000Z,Drawn from Valor,DrawnfromValor,Drawn from Valor is a #nonprofit #entertainment studio on a mission to help kids & families understand physical & #mentalhealth conditions.,826039503299022848,United States,1873,1691,12,5706
37,2015-08-08T00:50:26.000Z,Peyton Heart Project,PeytonHeart13,Global nonprofit / Suicide Prevention / Hearts scattered in +67 countries. youaretrulybeautiful@yahoo.com #PeytonHeartProject #MentalHealth,3407995067,NJ & TX,2537,1667,41,2351
38,2009-12-24T18:18:41.000Z,CODAC Tucson,CODACTucson,"Nonprofit that provides prevention & treatment services for people with substance use 
& mental health disorders.",99147638,"Tucson, AZ",1013,514,29,1144
39,2010-12-31T04:46:02.000Z,Libero Magazine,libero_mag,"#Nonprofit peer-support #mentalhealth magazine written by people like YOU!💚
 
SHARE YOUR STORY / WRITE FOR US: https://t.co/ISHo1miEWE",232444717,"Vancouver, Canada  | Worldwide",1418,610,70,26518
40,2009-02-25T16:48:55.000Z,Legacy Cares,legacydallas,"As a nonprofit for 26 years, Legacy provides mental health care, substance abuse treatment, and special care housing to people impacted by HIV/AIDS.",21886130,"Dallas, TX",1265,708,20,2705
41,2012-10-12T23:06:23.000Z,Jefferson Center,JeffCtrMH,"Jefferson Center is a #nonprofit, community-focused #mentalhealth care and substance use services provider in Colorado. #WithYouInMind",876616244,"Wheat Ridge, Colorado",664,381,18,2016
42,2013-10-28T22:55:46.000Z,CO Wellness Network,COWellnessNtwk,"We're a grassroots, state-wide wellness education and advocacy nonprofit staffed by people with mental health conditions who serve our peers in recovery. 😀",2161742624,"Denver, CO",923,1069,53,4680
43,2009-10-11T00:56:09.000Z,Kenneth Young Center,KYC_egv,"#Nonprofit org. providing #community #mental health & #senior services. We help people feel good, do better, and find solutions.",81480179,"Elk Grove Village, IL",801,701,39,5445
44,2013-02-13T03:40:40.000Z,Self-Discovery PPP Inc.,SDPPPINC,"Mental Health Awareness, Bullying Awareness and Suicide Prevention Nonprofit Organization.",1173796736,"Suwanee, GA",2305,2035,52,23516
45,2012-09-26T05:39:31.000Z,Eustress Inc.,EustressInc,#EustressInc is a nonprofit organization with a mission to raise mental health awareness in underserved communities.  📩 info@eustressinc.org,846832154,"Charlotte, NC",744,861,9,813
46,2018-06-28T22:05:38.000Z,The Football Family,thefootballfam2,Nonprofit organisation dedicated to helping the mental health & wellbeing of young 'released' academy footballers #playercare #welfare #wecare ⚽️💚,1012457018853085185,,506,576,1,351
47,2014-11-04T01:38:30.000Z,DogsofLasVegas,DogsofLasVegas,***Official Page*** Nonprofit Org spreading Pawsitive Mental Health. Find us on IG/FB #DogsofLasVegas #WagYourTailWednesday and #25TailsofChristmas ™️,2859736791,"Las Vegas, NV",703,294,6,2205
48,2012-11-14T19:49:29.000Z,RAMS Inc.,RAMSInc,"Nonprofit SFbased mental health agency advocating for & providing community based, culturally-competent, consumer-guided comprehensive services w/ API expertise",948385723,San Francisco,160,144,9,2350
49,2020-08-13T16:44:18.000Z,Apollo Pact,Apollo_Pact,We're a 501(c)(3) nonprofit advancing psychedelic medical research for mental & behavioral health.,1293951466873294849,"New York, NY",153,25,6,56
50,2017-03-19T16:10:19.000Z,Vet Counsel Vets,VETSCOUNSELVETS,Veterans Counseling Veterans is a 501c3 nonprofit that consists of Veterans and their family members involved in mental health.,843494853224882176,,850,1268,15,1311
51,2016-01-29T02:12:33.000Z,NAMI San Gabriel Valley,NamiSGV,"NAMI SGV is a nonprofit advocacy and support group for mental health, dedicated to the eradication of stigma and the improvement of life quality.",4828264098,"Pasadena, CA",459,384,20,875
52,2017-06-06T18:38:50.000Z,Sounds of Saving,SoundsOfSaving,501c3 nonprofit fueling hope through music. We work with artists to tell the stories of how music and mental health care can save and improve lives.,872160869970583556,"New York, USA",203,27,3,1399
53,2011-04-04T18:22:53.000Z,Vinfen,vinfencorp,"Vinfen is a nonprofit, community-based service provider for people with mental health conditions and disabilities.",277108024,"Massachusetts, USA",662,1123,11,1971
54,2020-09-16T02:01:28.000Z,Eclipse Lit 🌙 | subs closed,eclipse_lit,"#Nonprofit #litmag dedicated to #mentalhealth & #healing of our artists & community // ISSUE #2: Recovery, benefitting @LaurelPA // Founder: @faccenda_jenna✨",1306050487893008386,"Philadelphia, PA",998,410,44,907
